j xq yq zq rhoq vxq vyq vzq pxq pyq pzq Tq pq
375 0.000000 0.138249 0.090253 15.467153 0.588448 0.030875 0.006079 9.101615 0.477554 0.094021 0.073082 0.348672
376 0.000000 0.144393 0.090253 15.042705 0.556423 0.027814 -0.005434 8.370108 0.418392 -0.081742 0.076847 0.347731
377 0.000000 0.150538 0.090253 14.374886 0.524299 0.016248 -0.016012 7.536733 0.233563 -0.230171 0.076771 0.348712
378 0.000000 0.156682 0.090253 13.642570 0.499537 -0.001895 -0.024763 6.814974 -0.025855 -0.337825 0.071737 0.366557
379 0.000000 0.162826 0.090253 12.957574 0.494744 -0.019000 -0.031843 6.410677 -0.246192 -0.412613 0.065182 0.351815
380 0.000000 0.168971 0.090253 12.195401 0.517075 -0.029841 -0.039875 6.305931 -0.363927 -0.486291 0.062039 0.360678
381 0.000000 0.175115 0.090253 11.101006 0.554695 -0.035544 -0.051305 6.157673 -0.394570 -0.569538 0.062270 0.351057
382 0.000000 0.181260 0.090253 9.645301 0.590677 -0.032712 -0.062497 5.697261 -0.315518 -0.602804 0.064974 0.353388
383 0.000000 0.187404 0.090253 8.059581 0.611035 -0.019939 -0.066175 4.924687 -0.160699 -0.533341 0.073125 0.321562
384 0.000000 0.193548 0.090253 6.495811 0.610425 -0.003812 -0.058451 3.965204 -0.024765 -0.379686 0.085440 0.350874
385 0.000000 -0.225806 0.105295 7.095597 0.510367 0.030646 -0.031313 3.621361 0.217453 -0.222182 0.061251 0.336300
386 0.000000 -0.218638 0.105295 8.860658 0.508205 0.003125 -0.009379 4.503027 0.027694 -0.083108 0.044572 0.333505
